Month,Location,Budget,CPA,APPT.created,Conversion.ran,APPT.ran,Conversion.close,Orders,Average.ticket,Sales
1/1/2015,ALBANY,17931,717,25,1,20,0,6,4728,28366
2/1/2015,ALBANY,33143,571,58,1,50,0,13,12533,162931
3/1/2015,ALBANY,65600,820,80,1,70,0,17,12260,208416
4/1/2015,ALBANY,76460,490,156,1,143,0,43,7430,319473
5/1/2015,ALBANY,77819,894,87,1,106,0,23,12322,283405
6/1/2015,ALBANY,53707,707,76,1,89,0,24,10798,259161
7/1/2015,ALBANY,69035,1046,66,1,65,0,25,5318,132957
8/1/2015,ALBANY,53518,615,87,1,83,0,22,5521,121451
9/1/2015,ALBANY,39140,699,56,1,61,0,20,9823,196469
10/1/2015,ALBANY,59141,758,78,1,81,0,37,7241,267906
11/1/2015,ALBANY,21287,560,38,1,37,0,11,6812,74928
12/1/2015,ALBANY,5878,346,17,1,19,0,8,9059,72469
1/1/2016,ALBANY,20255,1066,19,1,19,0,5,7390,36948
2/1/2016,ALBANY,38228,869,44,1,37,0,8,7354,58829
3/1/2016,ALBANY,46002,852,54,1,54,0,17,12349,209935
4/1/2016,ALBANY,61201,927,66,1,67,0,13,8681,112857
5/1/2016,ALBANY,37125,619,60,1,60,0,21,5085,106786
6/1/2016,ALBANY,31159,567,55,1,49,0,16,8680,138883
7/1/2016,ALBANY,46266,557,83,1,69,0,12,3770,45236
8/1/2016,ALBANY,41281,625,66,1,62,0,12,5199,62387
9/1/2016,ALBANY,22677,372,61,1,63,0,9,7757,69813
10/1/2016,ALBANY,29726,291,102,1,91,0,20,6095,121891
11/1/2016,ALBANY,17883,715,25,2,61,0,12,5735,68820
12/1/2016,ALBANY,9780,752,13,1,16,0,5,8705,43524
1/1/2015,ALBUQUERQUE,28443,290,98,1,83,0,17,6037,102626
2/1/2015,ALBUQUERQUE,26511,390,68,1,70,0,19,7068,134288
3/1/2015,ALBUQUERQUE,46130,391,118,1,93,0,25,5120,128006
4/1/2015,ALBUQUERQUE,43555,392,111,1,127,0,46,7531,346437
5/1/2015,ALBUQUERQUE,34750,589,59,1,67,0,16,6324,101180
6/1/2015,ALBUQUERQUE,15269,228,67,1,66,0,26,5927,154108
7/1/2015,ALBUQUERQUE,14324,145,99,1,101,0,27,10019,270515
