TransactionId,UserId,ItemId,Quantity,Value,Location,ProductCategory,year,month,date,Timestamp_
1215554,2105346,212155541,2,150,Fleming Island,Apparels,2021,12,31,2021-12-31
1216546,2105346,212165461,2,180,Ponte Vedra Beach,Consumer Electronics,2021,12,31,2021-12-31
1216591,2105346,212165911,2,29,Bostwick,Footwear,2021,12,31,2021-12-31
1217250,2105346,212172501,2,200,Branford,Food,2021,12,31,2021-12-31
1217260,2105346,212172601,2,140,Bryceville,Health & Beauty Supplements,2021,12,31,2021-12-31
1217264,2105346,212172641,3,11,Callahan,Jwellary,2021,12,31,2021-12-31
1217323,2105346,212173231,2,34,Day,Books,2021,12,31,2021-12-31
1218255,2105346,212182551,2,37,Lake City,Mobile Phones,2021,12,31,2021-12-31
928375,2085921,29283751,6,401,Aiea,Apparels,2021,11,15,2021-11-15
1589715,2085921,215897151,3,27,Anahola,Consumer Electronics,2022,2,23,2022-2-23
1591343,2085921,215913431,7,475,Captain Cook,Footwear,2022,2,23,2022-2-23
1591491,2085921,215914911,2,57,Eleele,Food,2022,2,23,2022-2-23
1267779,1976718,212677791,2,190,Washington,Apparels,2022,1,9,2022-1-9
1268727,1976718,212687271,2,46,Naval Anacost Annex,Consumer Electronics,2022,1,9,2022-1-9
1269320,1976718,212693201,3,55,Washington Navy Yard,Footwear,2022,1,9,2022-1-9
1269441,1976718,212694411,6,141,Parcel Return Service,Food,2022,1,9,2022-1-9
1269817,1976718,212698171,2,126,Washington,Health & Beauty Supplements,2022,1,9,2022-1-9
1270041,1976718,212700411,2,53,Naval Anacost Annex,Jwellary,2022,1,9,2022-1-9
1270119,1976718,212701191,2,46,Washington Navy Yard,Books,2022,1,9,2022-1-9
1270462,1976718,212704621,11,131,Parcel Return Service,Mobile Phones,2022,1,9,2022-1-9
1270739,1976718,212707391,2,59,Washington,Fashion Accessories,2022,1,9,2022-1-9
1271767,1976718,212717671,3,45,Naval Anacost Annex,Home Decor,2022,1,9,2022-1-9
1274769,1976718,212747691,2,17,Washington Navy Yard,Kitchen & Home Appliances,2022,1,9,2022-1-9
1380644,1976718,213806441,6,446,Parcel Return Service,Toys & Games,2022,1,22,2022-1-22
1380762,1976718,213807621,2,86,Washington,Apparels,2022,1,22,2022-1-22
1381138,1976718,213811381,2,349,Naval Anacost Annex,Consumer Electronics,2022,1,22,2022-1-22
1381448,1976718,213814481,2,38,Washington Navy Yard,Footwear,2022,1,22,2022-1-22
