UserId,Age,Gender,UserType,Address
204041,36,M,Value,ME
1643825,24,F,Value,FL
1813716,20,F,Fast,CA
2099461,26,M,Inspiration,GA
303768,20,F,Fast,CA
478503,30,M,Fast,ID
348509,26,M,Inspiration,GA
1376945,28,M,Inspiration,HI
1817516,36,M,Value,ME
1994651,24,F,Value,FL
1892384,22,F,Value,DC
1349079,24,F,Value,FL
1990004,22,F,Value,DC
2162004,22,F,Value,DC
1538206,24,F,Value,FL
27360,20,F,Fast,CA
1805643,26,M,Inspiration,GA
5242,24,F,Value,FL
2151848,24,F,Value,FL
1976459,24,F,Value,FL
1352574,22,F,Value,DC
1942126,22,F,Value,DC
2115345,20,F,Fast,CA
99005,28,M,Inspiration,HI
1972123,24,F,Value,FL
1539770,22,F,Value,DC
2042238,24,F,Value,FL
1189491,34,M,Value,LA
1880671,20,F,Fast,CA
2165661,22,F,Value,DC
2034622,20,F,Fast,CA
1432559,26,M,Inspiration,GA
2153470,30,M,Fast,ID
1701624,24,F,Value,FL
2106848,26,M,Inspiration,GA
1883382,22,F,Value,DC
1829298,22,F,Value,DC
2127683,26,M,Inspiration,GA
1802864,24,F,Value,FL
1335768,28,M,Inspiration,HI
2172409,26,M,Inspiration,GA
211339,30,M,Fast,ID
1896337,22,F,Value,DC
1993814,20,F,Fast,CA
1720052,22,F,Value,DC
1676656,24,F,Value,FL
110991,22,F,Value,DC
1569095,28,M,Inspiration,HI
590236,26,M,Inspiration,GA
2007200,18,F,Fast,AL
924253,28,M,Inspiration,HI
1589475,20,F,Fast,CA
2031218,24,F,Value,FL
1671552,24,F,Value,FL
2104844,26,M,Inspiration,GA
1689953,22,F,Value,DC
2024432,26,M,Inspiration,GA
911703,30,M,Fast,ID
1816632,22,F,Value,DC
1371483,22,F,Value,DC
1561030,26,M,Inspiration,GA
1986205,22,F,Value,DC
1398749,28,M,Inspiration,HI
2110746,18,F,Fast,AL
1814812,26,M,Inspiration,GA
1208727,26,M,Inspiration,GA
1073387,18,F,Fast,AL
1432504,26,M,Inspiration,GA
1835466,24,F,Value,FL
2122879,24,F,Value,FL
207745,24,F,Value,FL
1660211,22,F,Value,DC
1490139,28,M,Inspiration,HI
2082654,36,M,Value,ME
1907675,30,M,Fast,ID
998950,26,M,Inspiration,GA
64171,30,M,Fast,ID
1392235,24,F,Value,FL
1188944,24,F,Value,FL
1276504,28,M,Inspiration,HI
66496,28,M,Inspiration,HI
2090956,24,F,Value,FL
1777568,24,F,Value,FL
1624169,26,M,Inspiration,GA
2161199,22,F,Value,DC
1508612,24,F,Value,FL
698307,22,F,Value,DC
195059,26,M,Inspiration,GA
1596961,20,F,Fast,CA
548107,28,M,Inspiration,HI
519152,24,F,Value,FL
2122360,24,F,Value,FL
1501187,26,M,Inspiration,GA
2012050,22,F,Value,DC
1693288,34,M,Value,LA
2011906,30,M,Fast,ID
2070989,22,F,Value,DC
583177,30,M,Fast,ID
1666200,26,M,Inspiration,GA
1752404,20,F,Fast,CA
556737,22,F,Value,DC
1961158,22,F,Value,DC
826236,28,M,Inspiration,HI
1643801,24,F,Value,FL
1705196,20,F,Fast,CA
1009973,22,F,Value,DC
934993,26,M,Inspiration,GA
243729,30,M,Fast,ID
1716543,22,F,Value,DC
1466967,32,M,Fast,KS
2162387,22,F,Value,DC
1742590,24,F,Value,FL
1416719,24,F,Value,FL
1908300,22,F,Value,DC
1601191,20,F,Fast,CA
1236546,20,F,Fast,CA
1725279,28,M,Inspiration,HI
694477,28,M,Inspiration,HI
2165350,22,F,Value,DC
1437417,28,M,Inspiration,HI
1919722,24,F,Value,FL
2131529,26,M,Inspiration,GA
1453264,24,F,Value,FL
1639613,24,F,Value,FL
2170047,18,F,Fast,AL
1130998,26,M,Inspiration,GA
1709392,20,F,Fast,CA
1842290,24,F,Value,FL
1648752,22,F,Value,DC
2129472,18,F,Fast,AL
1556630,20,F,Fast,CA
2112061,22,F,Value,DC
1183666,28,M,Inspiration,HI
447271,34,M,Value,LA
2103304,22,F,Value,DC
2057836,24,F,Value,FL
2130119,26,M,Inspiration,GA
311091,20,F,Fast,CA
1095235,24,F,Value,FL
1779401,22,F,Value,DC
1715700,22,F,Value,DC
2173185,18,F,Fast,AL
1992848,36,M,Value,ME
2058406,28,M,Inspiration,HI
813304,26,M,Inspiration,GA
950170,22,F,Value,DC
1270151,26,M,Inspiration,GA
355600,30,M,Fast,ID
1543309,22,F,Value,DC
2098716,22,F,Value,DC
173453,26,M,Inspiration,GA
1473064,24,F,Value,FL
51041,22,F,Value,DC
1980190,28,M,Inspiration,HI
2074635,18,F,Fast,AL
1115186,30,M,Fast,ID
2041606,22,F,Value,DC
738096,30,M,Fast,ID
2011418,28,M,Inspiration,HI
2005960,20,F,Fast,CA
1802925,22,F,Value,DC
883796,26,M,Inspiration,GA
1062718,28,M,Inspiration,HI
1503259,38,M,Inspiration,NE
1922333,30,M,Fast,ID
