CALENDAR_DATE,PRICE,QUANTITY,SELL_ID
2012-01-01,15.5,46,1070
2012-01-01,12.73,22,2051
2012-01-01,12.75,18,2052
2012-01-01,12.6,30,2053
2012-02-01,15.5,70,1070
2012-02-01,12.73,22,2051
2012-02-01,12.75,16,2052
2012-02-01,12.6,34,2053
2012-03-01,15.5,62,1070
2012-03-01,12.73,26,2051
2012-03-01,12.75,12,2052
2012-03-01,12.6,28,2053
2012-04-01,15.5,88,1070
2012-04-01,12.73,26,2051
2012-04-01,12.75,24,2052
2012-04-01,12.6,42,2053
2012-05-01,15.5,104,1070
2012-05-01,12.73,36,2051
2012-05-01,12.75,24,2052
2012-05-01,12.6,58,2053
2012-06-01,15.5,100,1070
2012-06-01,12.73,38,2051
2012-06-01,12.75,20,2052
2012-06-01,12.6,54,2053
2012-07-01,15.5,70,1070
2012-07-01,12.73,24,2051
2012-07-01,12.75,18,2052
2012-07-01,12.6,42,2053
2012-08-01,15.5,70,1070
2012-08-01,12.73,26,2051
2012-08-01,12.75,18,2052
2012-08-01,12.6,42,2053
2012-09-01,15.5,106,1070
2012-09-01,12.73,34,2051
2012-09-01,12.75,24,2052
2012-09-01,12.6,54,2053
2012-10-01,15.5,108,1070
2012-10-01,12.73,40,2051
2012-10-01,12.75,28,2052
2012-10-01,12.6,58,2053
2012-11-01,15.5,104,1070
2012-11-01,12.73,32,2051
2012-11-01,12.75,26,2052
2012-11-01,12.6,52,2053
2012-12-01,15.5,102,1070
2012-12-01,12.73,32,2051
2012-12-01,12.75,26,2052
2012-12-01,12.6,60,2053
2012-01-13,15.5,100,1070
2012-01-13,12.73,40,2051
2012-01-13,12.75,26,2052
2012-01-13,12.6,58,2053
2012-01-14,15.5,74,1070
2012-01-14,12.73,24,2051
2012-01-14,12.75,20,2052
2012-01-14,12.6,42,2053
2012-01-15,15.5,60,1070
2012-01-15,12.73,22,2051
2012-01-15,12.75,18,2052
2012-01-15,12.6,32,2053
2012-01-16,15.5,104,1070
2012-01-16,12.73,40,2051
2012-01-16,12.75,28,2052
2012-01-16,12.6,56,2053
2012-01-17,15.5,106,1070
2012-01-17,12.73,38,2051
2012-01-17,12.75,22,2052
2012-01-17,12.6,54,2053
2012-01-18,15.5,108,1070
2012-01-18,12.73,40,2051
2012-01-18,12.75,24,2052
2012-01-18,12.6,58,2053
2012-01-19,15.5,100,1070
2012-01-19,12.73,32,2051
2012-01-19,12.75,24,2052
2012-01-19,12.6,54,2053
2012-01-20,15.5,100,1070
2012-01-20,12.73,36,2051
2012-01-20,12.75,22,2052
2012-01-20,12.6,58,2053
2012-01-21,15.5,70,1070
2012-01-21,12.73,22,2051
2012-01-21,12.75,22,2052
2012-01-21,12.6,40,2053
2012-01-22,15.5,74,1070
2012-01-22,12.73,30,2051
2012-01-22,12.75,16,2052
2012-01-22,12.6,34,2053
2012-01-23,15.5,108,1070
2012-01-23,12.73,38,2051
2012-01-23,12.75,20,2052
2012-01-23,12.6,52,2053
2012-01-24,15.5,100,1070
2012-01-24,12.73,36,2051
2012-01-24,12.75,26,2052
2012-01-24,12.6,56,2053
2012-01-25,15.5,100,1070
2012-01-25,12.73,38,2051
2012-01-25,12.75,26,2052
2012-01-25,12.6,60,2053
2012-01-26,15.5,106,1070
2012-01-26,12.73,38,2051
2012-01-26,12.75,26,2052
2012-01-26,12.6,52,2053
2012-01-27,15.5,86,1070
2012-01-27,12.73,28,2051
2012-01-27,12.75,18,2052
2012-01-27,12.6,46,2053
2012-01-28,15.5,62,1070
2012-01-28,12.73,24,2051
2012-01-28,12.75,14,2052
2012-01-28,12.6,34,2053
2012-01-29,15.5,70,1070
2012-01-29,12.73,22,2051
2012-01-29,12.75,14,2052
2012-01-29,12.6,38,2053
2012-01-30,15.5,106,1070
2012-01-30,12.73,34,2051
2012-01-30,12.75,22,2052
2012-01-30,12.6,52,2053
2012-01-31,15.5,84,1070
2012-01-31,12.73,30,2051
2012-01-31,12.75,16,2052
2012-01-31,12.6,42,2053
2012-01-02,15.5,90,1070
2012-01-02,12.73,28,2051
2012-01-02,12.75,20,2052
2012-01-02,12.6,48,2053
2012-02-02,15.5,64,1070
2012-02-02,12.73,18,2051
2012-02-02,12.75,18,2052
2012-02-02,12.6,34,2053
2012-03-02,15.5,62,1070
2012-03-02,12.73,20,2051
2012-03-02,12.75,16,2052
2012-03-02,12.6,32,2053
2012-04-02,15.5,42,1070
2012-04-02,12.73,12,2051
2012-04-02,12.75,16,2052
2012-04-02,12.6,20,2053
2012-05-02,15.5,38,1070
2012-05-02,12.73,12,2051
2012-05-02,12.75,8,2052
2012-05-02,12.6,28,2053
2012-06-02,15.5,56,1070
2012-06-02,12.73,26,2051
2012-06-02,12.75,12,2052
2012-06-02,12.6,32,2053
2012-07-02,15.5,56,1070
2012-07-02,12.73,18,2051
2012-07-02,12.75,18,2052
2012-07-02,12.6,30,2053
2012-08-02,15.5,60,1070
2012-08-02,12.73,20,2051
2012-08-02,12.75,16,2052
2012-08-02,12.6,30,2053
2012-09-02,15.5,88,1070
2012-09-02,12.73,28,2051
2012-09-02,12.75,16,2052
2012-09-02,12.6,42,2053
2012-10-02,15.5,90,1070
2012-10-02,12.73,26,2051
2012-10-02,12.75,20,2052
2012-10-02,12.6,44,2053
2012-11-02,15.5,76,1070
2012-11-02,12.73,26,2051
2012-11-02,12.75,14,2052
2012-11-02,12.6,40,2053
2012-12-02,15.5,72,1070
2012-12-02,12.73,26,2051
2012-12-02,12.75,16,2052
2012-12-02,12.6,34,2053
2012-02-13,15.5,90,1070
2012-02-13,12.73,30,2051
2012-02-13,12.75,16,2052
2012-02-13,12.6,46,2053
2012-02-14,15.5,82,1070
2012-02-14,12.73,32,2051
2012-02-14,12.75,18,2052
2012-02-14,12.6,44,2053
2012-02-15,15.5,86,1070
2012-02-15,12.73,30,2051
2012-02-15,12.75,16,2052
2012-02-15,12.6,48,2053
2012-02-16,15.5,86,1070
2012-02-16,12.73,32,2051
2012-02-16,12.75,16,2052
2012-02-16,12.6,42,2053
2012-02-17,15.5,84,1070
2012-02-17,12.73,26,2051
2012-02-17,12.75,18,2052
2012-02-17,12.6,42,2053
2012-02-18,15.5,62,1070
2012-02-18,12.73,18,2051
2012-02-18,12.75,16,2052
2012-02-18,12.6,30,2053
2012-02-19,15.5,60,1070
2012-02-19,12.73,26,2051
2012-02-19,12.75,16,2052
2012-02-19,12.6,28,2053
2012-02-20,15.5,88,1070
2012-02-20,12.73,26,2051
2012-02-20,12.75,20,2052
2012-02-20,12.6,44,2053
2012-02-21,15.5,90,1070
2012-02-21,12.73,26,2051
2012-02-21,12.75,20,2052
2012-02-21,12.6,44,2053
2012-02-22,15.5,90,1070
2012-02-22,12.73,30,2051
2012-02-22,12.75,20,2052
2012-02-22,12.6,44,2053
2012-02-23,15.5,88,1070
2012-02-23,12.73,30,2051
2012-02-23,12.75,22,2052
2012-02-23,12.6,46,2053
2012-02-24,15.5,82,1070
2012-02-24,12.73,28,2051
2012-02-24,12.75,24,2052
2012-02-24,12.6,46,2053
2012-02-25,15.5,62,1070
2012-02-25,12.73,22,2051
2012-02-25,12.75,12,2052
2012-02-25,12.6,36,2053
2012-02-26,15.5,60,1070
2012-02-26,12.73,22,2051
2012-02-26,12.75,14,2052
2012-02-26,12.6,30,2053
2012-02-27,15.5,82,1070
2012-02-27,12.73,30,2051
2012-02-27,12.75,20,2052
2012-02-27,12.6,50,2053
2012-02-28,15.5,86,1070
2012-02-28,12.73,26,2051
2012-02-28,12.75,22,2052
2012-02-28,12.6,42,2053
2012-01-03,15.5,84,1070
2012-01-03,12.73,32,2051
2012-01-03,12.75,20,2052
2012-01-03,12.6,50,2053
2012-02-03,15.5,86,1070
2012-02-03,12.73,34,2051
2012-02-03,12.75,24,2052
2012-02-03,12.6,46,2053
2012-03-03,15.5,64,1070
2012-03-03,12.73,26,2051
2012-03-03,12.75,12,2052
2012-03-03,12.6,30,2053
2012-04-03,15.5,62,1070
2012-04-03,12.73,26,2051
2012-04-03,12.75,18,2052
2012-04-03,12.6,28,2053
2012-05-03,15.5,88,1070
2012-05-03,12.73,34,2051
2012-05-03,12.75,22,2052
2012-05-03,12.6,46,2053
2012-06-03,15.5,86,1070
2012-06-03,12.73,26,2051
2012-06-03,12.75,16,2052
2012-06-03,12.6,44,2053
2012-07-03,15.5,84,1070
2012-07-03,12.73,34,2051
2012-07-03,12.75,24,2052
2012-07-03,12.6,44,2053
2012-08-03,15.5,86,1070
2012-08-03,12.73,28,2051
2012-08-03,12.75,20,2052
2012-08-03,12.6,42,2053
2012-09-03,15.5,90,1070
2012-09-03,12.73,34,2051
2012-09-03,12.75,20,2052
2012-09-03,12.6,44,2053
2012-10-03,15.5,56,1070
2012-10-03,12.73,22,2051
2012-10-03,12.75,18,2052
2012-10-03,12.6,28,2053
2012-11-03,15.5,64,1070
2012-11-03,12.73,20,2051
2012-11-03,12.75,18,2052
2012-11-03,12.6,34,2053
2012-12-03,15.5,84,1070
2012-12-03,12.73,34,2051
2012-12-03,12.75,20,2052
2012-12-03,12.6,50,2053
2012-03-13,15.5,88,1070
2012-03-13,12.73,28,2051
2012-03-13,12.75,16,2052
2012-03-13,12.6,44,2053
2012-03-14,15.5,84,1070
2012-03-14,12.73,28,2051
2012-03-14,12.75,20,2052
2012-03-14,12.6,42,2053
2012-03-15,15.5,86,1070
2012-03-15,12.73,26,2051
2012-03-15,12.75,18,2052
2012-03-15,12.6,46,2053
2012-03-16,15.5,88,1070
2012-03-16,12.73,32,2051
2012-03-16,12.75,16,2052
2012-03-16,12.6,46,2053
2012-03-17,15.5,56,1070
2012-03-17,12.73,22,2051
2012-03-17,12.75,20,2052
2012-03-17,12.6,28,2053
2012-03-18,15.5,60,1070
2012-03-18,12.73,20,2051
2012-03-18,12.75,18,2052
2012-03-18,12.6,30,2053
2012-03-19,15.5,88,1070
2012-03-19,12.73,30,2051
2012-03-19,12.75,22,2052
2012-03-19,12.6,50,2053
2012-03-20,15.5,84,1070
2012-03-20,12.73,30,2051
2012-03-20,12.75,16,2052
2012-03-20,12.6,42,2053
2012-03-21,15.5,90,1070
2012-03-21,12.73,28,2051
2012-03-21,12.75,16,2052
2012-03-21,12.6,42,2053
2012-03-22,15.5,90,1070
2012-03-22,12.73,28,2051
2012-03-22,12.75,20,2052
2012-03-22,12.6,44,2053
2012-03-23,15.5,90,1070
2012-03-23,12.73,34,2051
2012-03-23,12.75,24,2052
2012-03-23,12.6,46,2053
2012-03-24,15.5,56,1070
2012-03-24,12.73,20,2051
2012-03-24,12.75,12,2052
2012-03-24,12.6,32,2053
2012-03-25,15.5,62,1070
2012-03-25,12.73,24,2051
2012-03-25,12.75,14,2052
2012-03-25,12.6,32,2053
2012-03-26,15.5,90,1070
2012-03-26,12.73,28,2051
2012-03-26,12.75,18,2052
2012-03-26,12.6,50,2053
2012-03-27,15.5,90,1070
2012-03-27,12.73,34,2051
2012-03-27,12.75,20,2052
2012-03-27,12.6,46,2053
2012-03-28,15.5,88,1070
2012-03-28,12.73,34,2051
2012-03-28,12.75,16,2052
2012-03-28,12.6,48,2053
2012-03-29,15.5,86,1070
2012-03-29,12.73,30,2051
2012-03-29,12.75,16,2052
2012-03-29,12.6,50,2053
2012-03-30,15.5,84,1070
2012-03-30,12.73,34,2051
2012-03-30,12.75,22,2052
2012-03-30,12.6,42,2053
2012-03-31,15.5,60,1070
2012-03-31,12.73,20,2051
2012-03-31,12.75,18,2052
2012-03-31,12.6,28,2053
2012-01-04,15.5,58,1070
2012-01-04,12.73,20,2051
2012-01-04,12.75,18,2052
2012-01-04,12.6,34,2053
2012-02-04,15.5,82,1070
2012-02-04,12.73,26,2051
2012-02-04,12.75,18,2052
2012-02-04,12.6,44,2053
2012-03-04,15.5,64,1070
2012-03-04,12.73,26,2051
2012-03-04,12.75,20,2052
2012-03-04,12.6,36,2053
2012-04-04,15.5,58,1070
2012-04-04,12.73,22,2051
2012-04-04,12.75,16,2052
2012-04-04,12.6,30,2053
2012-05-04,15.5,62,1070
2012-05-04,12.73,26,2051
2012-05-04,12.75,12,2052
2012-05-04,12.6,30,2053
2012-06-04,15.5,82,1070
2012-06-04,12.73,28,2051
2012-06-04,12.75,22,2052
2012-06-04,12.6,44,2053
2012-07-04,15.5,64,1070
2012-07-04,12.73,26,2051
2012-07-04,12.75,20,2052
2012-07-04,12.6,32,2053
2012-08-04,15.5,64,1070
2012-08-04,12.73,20,2051
2012-08-04,12.75,16,2052
2012-08-04,12.6,30,2053
2012-09-04,15.5,86,1070
2012-09-04,12.73,30,2051
2012-09-04,12.75,16,2052
2012-09-04,12.6,44,2053
2012-10-04,15.5,88,1070
2012-10-04,12.73,28,2051
2012-10-04,12.75,18,2052
2012-10-04,12.6,50,2053
2012-11-04,15.5,84,1070
2012-11-04,12.73,34,2051
2012-11-04,12.75,16,2052
2012-11-04,12.6,50,2053
2012-12-04,15.5,82,1070
2012-12-04,12.73,30,2051
2012-12-04,12.75,24,2052
2012-12-04,12.6,50,2053
2012-04-13,15.5,90,1070
2012-04-13,12.73,30,2051
2012-04-13,12.75,18,2052
2012-04-13,12.6,42,2053
2012-04-14,15.5,64,1070
2012-04-14,12.73,22,2051
2012-04-14,12.75,18,2052
2012-04-14,12.6,34,2053
2012-04-15,15.5,58,1070
2012-04-15,12.73,22,2051
2012-04-15,12.75,20,2052
2012-04-15,12.6,28,2053
2012-04-16,15.5,82,1070
2012-04-16,12.73,30,2051
2012-04-16,12.75,20,2052
2012-04-16,12.6,50,2053
2012-04-17,15.5,82,1070
2012-04-17,12.73,28,2051
2012-04-17,12.75,20,2052
2012-04-17,12.6,42,2053
2012-04-18,15.5,90,1070
2012-04-18,12.73,32,2051
2012-04-18,12.75,18,2052
2012-04-18,12.6,46,2053
2012-04-19,15.5,88,1070
2012-04-19,12.73,30,2051
2012-04-19,12.75,24,2052
2012-04-19,12.6,48,2053
2012-04-20,15.5,86,1070
2012-04-20,12.73,28,2051
2012-04-20,12.75,22,2052
2012-04-20,12.6,48,2053
2012-04-21,15.5,56,1070
2012-04-21,12.73,20,2051
2012-04-21,12.75,14,2052
2012-04-21,12.6,28,2053
2012-04-22,15.5,64,1070
2012-04-22,12.73,26,2051
2012-04-22,12.75,12,2052
2012-04-22,12.6,36,2053
2012-04-23,15.5,90,1070
2012-04-23,12.73,28,2051
2012-04-23,12.75,18,2052
2012-04-23,12.6,46,2053
2012-04-24,15.5,82,1070
2012-04-24,12.73,32,2051
2012-04-24,12.75,24,2052
2012-04-24,12.6,48,2053
2012-04-25,15.5,88,1070
2012-04-25,12.73,28,2051
2012-04-25,12.75,16,2052
2012-04-25,12.6,48,2053
2012-04-26,15.5,82,1070
2012-04-26,12.73,30,2051
2012-04-26,12.75,22,2052
2012-04-26,12.6,46,2053
2012-04-27,15.5,88,1070
2012-04-27,12.73,28,2051
2012-04-27,12.75,24,2052
2012-04-27,12.6,48,2053
2012-04-28,15.5,62,1070
2012-04-28,12.73,20,2051
2012-04-28,12.75,12,2052
2012-04-28,12.6,34,2053
2012-04-29,15.5,58,1070
2012-04-29,12.73,20,2051
2012-04-29,12.75,12,2052
2012-04-29,12.6,28,2053
2012-04-30,15.5,64,1070
2012-04-30,12.73,22,2051
2012-04-30,12.75,16,2052
2012-04-30,12.6,36,2053
2012-01-05,15.0,64,1070
2012-01-05,11.49,22,2051
2012-01-05,11.36,22,2052
2012-01-05,10.47,44,2053
2012-02-05,15.0,62,1070
2012-02-05,11.49,24,2051
2012-02-05,11.36,20,2052
2012-02-05,10.47,42,2053
2012-03-05,15.0,86,1070
2012-03-05,11.49,32,2051
2012-03-05,11.36,26,2052
2012-03-05,10.47,58,2053
2012-04-05,15.0,94,1070
2012-04-05,11.49,30,2051
2012-04-05,11.36,26,2052
2012-04-05,10.47,58,2053
2012-05-05,15.0,62,1070
2012-05-05,11.49,20,2051
2012-05-05,11.36,16,2052
2012-05-05,10.47,40,2053
2012-06-05,15.0,66,1070
2012-06-05,11.49,24,2051
2012-06-05,11.36,20,2052
2012-06-05,10.47,42,2053
2012-07-05,15.0,90,1070
2012-07-05,11.49,34,2051
2012-07-05,11.36,26,2052
2012-07-05,10.47,60,2053
2012-08-05,15.0,88,1070
2012-08-05,11.49,36,2051
2012-08-05,11.36,20,2052
2012-08-05,10.47,60,2053
2012-09-05,15.0,94,1070
2012-09-05,11.49,32,2051
2012-09-05,11.36,24,2052
2012-09-05,10.47,62,2053
2012-10-05,15.0,88,1070
2012-10-05,11.49,36,2051
2012-10-05,11.36,22,2052
2012-10-05,10.47,58,2053
2012-11-05,15.0,94,1070
2012-11-05,11.49,36,2051
2012-11-05,11.36,24,2052
2012-11-05,10.47,62,2053
2012-12-05,15.0,60,1070
2012-12-05,11.49,26,2051
2012-12-05,11.36,22,2052
2012-12-05,10.47,42,2053
2012-05-13,15.0,58,1070
2012-05-13,11.49,28,2051
2012-05-13,11.36,14,2052
2012-05-13,10.47,40,2053
2012-05-14,15.0,94,1070
2012-05-14,11.49,36,2051
2012-05-14,11.36,22,2052
2012-05-14,10.47,60,2053
2012-05-15,15.0,86,1070
2012-05-15,11.49,32,2051
2012-05-15,11.36,20,2052
2012-05-15,10.47,56,2053
2012-05-16,15.0,88,1070
2012-05-16,11.49,32,2051
2012-05-16,11.36,24,2052
2012-05-16,10.47,58,2053
2012-05-17,15.0,90,1070
2012-05-17,11.49,32,2051
2012-05-17,11.36,20,2052
2012-05-17,10.47,64,2053
2012-05-18,15.0,92,1070
2012-05-18,11.49,38,2051
2012-05-18,11.36,22,2052
2012-05-18,10.47,62,2053
2012-05-19,15.0,58,1070
2012-05-19,11.49,24,2051
2012-05-19,11.36,14,2052
2012-05-19,10.47,38,2053
2012-05-20,15.0,62,1070
2012-05-20,11.49,26,2051
2012-05-20,11.36,18,2052
2012-05-20,10.47,38,2053
2012-05-21,15.0,92,1070
2012-05-21,11.49,38,2051
2012-05-21,11.36,26,2052
